Date,Close,High,Low,Open,Volume
2024-07-18,28.5,28.75,28.0,28.25,9298500
2024-07-19,27.5,28.5,27.5,28.5,17482800
2024-07-23,26.25,27.25,26.25,27.0,29941700
2024-07-24,26.25,26.75,25.75,26.25,16091900
2024-07-25,26.25,26.25,25.25,25.75,22918700
2024-07-26,27.25,27.5,26.0,26.25,23318200
2024-07-30,27.25,27.25,27.25,27.25,0
2024-07-31,27.25,28.0,26.75,27.0,35661300
2024-08-01,27.5,27.5,27.0,27.0,9184900
2024-08-02,25.75,27.25,25.75,27.0,25302600
2024-08-05,24.299999237060547,25.5,24.200000762939453,25.25,35618900
2024-08-06,24.100000381469727,25.0,24.100000381469727,24.600000381469727,20693400
2024-08-07,23.799999237060547,24.600000381469727,23.600000381469727,24.299999237060547,28574700
2024-08-08,23.799999237060547,23.799999237060547,23.799999237060547,23.799999237060547,0
2024-08-09,23.399999618530273,25.5,23.299999237060547,25.0,41202100
2024-08-13,23.700000762939453,23.799999237060547,22.799999237060547,23.5,22440400
2024-08-14,23.399999618530273,23.899999618530273,23.200000762939453,23.600000381469727,20241400
2024-08-15,23.799999237060547,23.799999237060547,23.0,23.399999618530273,19222800
2024-08-16,24.0,24.100000381469727,23.600000381469727,23.899999618530273,12382200
2024-08-19,24.0,24.0,24.0,24.0,0
2024-08-20,23.600000381469727,24.799999237060547,23.5,24.5,21688700
2024-08-21,24.100000381469727,24.399999618530273,23.700000762939453,23.700000762939453,25159200
2024-08-22,24.100000381469727,24.100000381469727,24.100000381469727,24.100000381469727,0
2024-08-23,25.25,25.5,24.399999618530273,24.399999618530273,30516800
2024-08-26,25.75,26.25,25.25,25.5,18685500
2024-08-27,25.25,26.0,25.25,25.5,14530700
2024-08-28,25.25,25.5,25.0,25.25,9357700
2024-08-29,25.0,25.5,24.600000381469727,25.0,15601200
2024-08-30,25.0,25.25,24.700000762939453,25.0,24631700
2024-09-02,25.0,25.0,25.0,25.0,0
2024-09-03,25.0,25.0,25.0,25.0,0
2024-09-04,25.0,25.0,25.0,25.0,0
2024-09-05,27.25,27.5,26.25,26.5,32859100
2024-09-06,28.0,28.25,27.25,27.5,18420200
2024-09-09,28.0,28.0,28.0,28.0,0
2024-09-10,27.5,28.25,27.0,28.0,16516900
2024-09-11,26.75,27.75,26.5,27.0,28222000
2024-09-12,27.25,27.75,26.5,26.75,11456400
