Date,Close,High,Low,Open,Volume
2024-08-02,47.75,47.75,47.75,47.75,0
2024-08-05,47.5,48.75,46.5,47.75,67595800
2024-08-06,46.75,48.0,46.75,48.0,21016000
2024-08-07,47.75,48.25,47.0,47.0,28859000
2024-08-08,47.75,47.75,47.75,47.75,0
2024-08-09,47.75,48.5,47.5,48.0,26209500
2024-08-13,47.5,48.0,47.0,47.75,9934700
2024-08-14,47.0,48.0,46.0,47.5,27520400
2024-08-15,47.5,47.5,46.75,47.0,7412000
2024-08-16,47.5,48.0,47.0,47.75,8587400
2024-08-19,47.5,47.5,47.5,47.5,0
2024-08-20,48.5,48.75,47.75,48.0,32239900
2024-08-21,49.75,50.5,48.5,48.75,36624700
2024-08-22,50.25,50.5,49.5,49.75,14262500
2024-08-23,50.5,50.5,49.75,50.25,18606700
2024-08-26,50.25,50.75,50.0,50.5,10737700
2024-08-27,50.75,50.75,50.25,50.5,5597700
2024-08-28,51.25,51.5,50.25,50.75,13056600
2024-08-29,51.0,51.5,50.75,51.0,11095500
2024-08-30,50.75,51.25,50.25,51.0,25254100
2024-09-02,50.75,50.75,50.25,50.5,8596500
2024-09-03,50.75,51.25,50.5,50.5,6604900
2024-09-04,51.0,51.25,50.5,50.5,9607500
2024-09-05,53.5,53.75,51.25,51.25,32285400
2024-09-06,55.75,56.0,54.0,54.0,37837100
2024-09-09,55.75,55.75,55.75,55.75,0
2024-09-10,55.25,55.75,54.75,55.5,17149300
2024-09-11,55.0,55.25,54.25,55.0,24028200
2024-09-12,55.0,55.75,54.75,55.25,16094300
2024-09-13,56.25,56.5,55.0,55.25,18088900
2024-09-16,55.75,56.75,55.75,56.5,14356000
2024-09-17,56.0,56.25,55.5,56.0,10077800
2024-09-18,55.5,56.75,55.5,56.25,13116700
2024-09-19,57.0,57.75,55.75,55.75,32131400
2024-09-20,56.75,57.5,56.5,57.25,15502500
2024-09-23,56.75,57.0,56.25,56.75,13911600
2024-09-24,57.5,57.5,56.75,56.75,14910200
2024-09-25,57.25,58.5,57.25,57.75,18882300
2024-09-26,56.75,57.5,56.5,57.25,12580900
2024-09-27,56.5,57.25,56.25,56.75,19100300
2024-09-30,57.0,57.25,56.25,56.25,12448500
2024-10-01,57.75,58.5,56.75,57.0,27545500
2024-10-02,56.5,58.0,56.5,57.5,26120600
2024-10-03,57.75,58.0,55.5,56.0,31384300
2024-10-04,59.0,59.75,57.5,57.75,45831300
2024-10-07,59.5,59.75,58.75,59.0,20087900
2024-10-08,58.5,59.75,58.5,59.25,26118300
2024-10-09,61.75,62.25,58.5,58.5,57778900
2024-10-10,62.75,63.75,61.5,62.0,49680700
2024-10-11,64.75,66.0,63.0,63.0,53158100
2024-10-15,65.5,65.75,64.75,65.25,28056700
2024-10-16,65.5,65.5,65.5,65.5,0
2024-10-17,69.5,70.0,66.25,66.5,49639800
2024-10-18,68.25,70.75,68.0,69.25,48927900
2024-10-21,68.75,68.75,66.75,67.75,24724800
2024-10-22,66.5,68.75,66.25,68.5,33924800
2024-10-24,66.5,67.75,65.75,66.0,26884000
2024-10-25,65.75,67.0,64.0,67.0,35864200
2024-10-28,65.25,66.0,64.5,66.0,24217300
2024-10-29,65.5,67.25,65.5,65.5,32117000
2024-10-30,65.75,66.0,64.75,65.0,15930300
2024-10-31,66.5,66.75,65.5,65.75,16126900
2024-11-01,66.0,68.0,66.0,66.75,29043900
2024-11-04,66.5,66.75,65.25,66.25,17686900
2024-11-05,66.25,66.75,65.25,66.25,23876700
2024-11-06,64.5,66.5,63.5,66.5,37519900
2024-11-07,65.5,66.5,63.75,64.5,29831300
2024-11-08,64.75,66.5,64.25,66.0,22967800
2024-11-11,63.75,65.0,63.5,64.75,15054800
2024-11-12,64.0,64.25,62.5,63.5,23296400
2024-11-13,63.25,65.0,63.25,64.25,17726000
2024-11-14,64.5,65.0,61.25,62.75,34777900
2024-11-15,61.0,65.5,61.0,65.5,42665900
2024-11-18,62.25,62.75,61.25,61.5,19970600
2024-11-19,62.75,63.5,62.0,63.0,19365600
2024-11-20,63.5,64.5,62.5,63.0,24801100
2024-11-21,64.0,65.0,63.25,64.0,23388400
2024-11-22,64.0,65.25,63.25,64.25,28838900
2024-11-25,64.25,65.0,63.25,64.25,30599500
2024-11-26,62.75,64.75,62.75,64.5,18975800
2024-11-27,62.5,63.0,61.5,62.75,22551100
2024-11-28,62.25,62.75,61.75,62.25,22528400
2024-11-29,60.5,62.25,60.25,62.25,31330000
2024-12-02,61.25,61.75,60.5,60.75,16453800
2024-12-03,65.5,65.5,63.25,63.5,42197100
2024-12-04,63.25,66.0,63.25,65.5,36962000
2024-12-06,65.0,65.75,63.5,63.75,36915400
2024-12-09,64.25,65.0,64.0,64.75,14273300
2024-12-11,63.25,64.25,62.5,64.0,32862700
2024-12-12,62.5,63.75,62.0,63.0,20525000
2024-12-13,61.25,62.25,61.25,62.0,19299300
2024-12-16,61.75,62.0,61.25,61.5,14106700
2024-12-17,60.75,62.5,60.25,61.75,18866100
2024-12-18,60.25,61.0,59.5,61.0,23914200
2024-12-19,58.75,60.0,58.25,59.5,29481200
2024-12-20,59.25,59.5,57.75,59.0,23636100
2024-12-23,59.5,60.0,58.5,59.75,24071300
2024-12-24,59.75,60.25,59.25,59.5,12234500
2024-12-25,59.75,60.75,59.75,60.0,12208700
2024-12-26,59.5,60.0,59.0,59.75,11179700
2024-12-27,60.0,60.75,59.0,59.5,14858600
2024-12-30,59.5,61.0,59.5,60.25,13213500
2025-01-02,56.75,58.75,56.5,58.75,31318000
2025-01-03,57.5,57.75,56.5,57.25,19921600
2025-01-06,56.25,57.25,55.5,57.0,30755800
2025-01-07,57.5,58.5,56.25,56.5,32897200
2025-01-08,58.0,58.5,57.25,57.5,26605800
2025-01-09,57.25,57.25,56.5,57.25,29545300
2025-01-10,58.5,58.75,56.25,56.75,31955300
2025-01-13,58.0,58.75,57.0,57.75,32382700
2025-01-14,58.25,59.5,58.25,59.25,37268200
2025-01-15,60.0,60.0,58.0,58.25,31395100
2025-01-16,60.5,61.5,59.5,60.0,33228900
2025-01-17,59.5,60.5,59.25,60.25,24053100
2025-01-20,59.25,60.0,59.25,59.75,10866700
2025-01-21,59.5,60.75,59.25,59.75,18536500
2025-01-22,60.25,60.75,59.5,59.5,13306800
2025-01-23,59.75,60.5,59.5,60.0,21209400
2025-01-24,60.5,60.75,59.75,60.0,12474900
2025-01-27,59.5,60.5,59.5,60.25,8639500
2025-01-28,60.0,60.25,59.0,59.0,17855400
2025-01-29,60.0,60.25,59.5,60.0,9850700
2025-01-30,59.75,60.75,59.75,60.25,9685900
2025-01-31,57.75,59.75,57.75,59.25,36011300
2025-02-03,57.25,58.0,54.0,54.25,26368500
2025-02-04,58.5,58.75,57.5,58.0,16999800
2025-02-05,57.5,59.0,57.0,58.75,15733800
2025-02-06,56.5,58.25,56.25,58.0,19459200
2025-02-07,58.25,58.75,56.75,57.75,40308900
2025-02-10,57.25,58.0,56.75,57.75,27467200
2025-02-11,56.5,57.0,55.5,56.75,54108400
